i,l,k,zeta,w,phi1,phi2,xn,yn,xl1,yl1,xl2,yl2,xs,ys,delta_s,r,drdn,G,dGdn
0,19,1,-0.339981,0.652145,0.669991,0.330009,1,0,0.258819,-0.965926,0.5,-0.866025,0.338411,-0.932958,0.261052,1.14373,0.532261,-0.134292,-0.465375
0,19,2,0.339981,0.652145,0.330009,0.669991,1,0,0.258819,-0.965926,0.5,-0.866025,0.420408,-0.898993,0.261052,1.06963,0.569131,-0.0673162,-0.53208
0,19,3,0.861136,0.347855,0.0694318,0.930568,1,0,0.258819,-0.965926,0.5,-0.866025,0.483254,-0.872962,0.261052,1.01444,0.600096,-0.0143366,-0.591554
0,20,0,-0.861136,0.347855,0.930568,0.0694318,1,0,0.5,-0.866025,0.707107,-0.707107,0.51438,-0.854991,0.261052,0.983279,0.389191,0.0168626,-0.39581
0,20,1,-0.339981,0.652145,0.669991,0.330009,1,0,0.5,-0.866025,0.707107,-0.707107,0.568347,-0.813581,0.261052,0.920998,0.415509,0.0822971,-0.451151
0,20,2,0.339981,0.652145,0.330009,0.669991,1,0,0.5,-0.866025,0.707107,-0.707107,0.63876,-0.759551,0.261052,0.841078,0.454991,0.17307,-0.540962
0,20,3,0.861136,0.347855,0.0694318,0.930568,1,0,0.5,-0.866025,0.707107,-0.707107,0.692727,-0.718141,0.261052,0.781116,0.489919,0.247031,-0.627203
0,21,0,-0.861136,0.347855,0.930568,0.0694318,1,0,0.707107,-0.707107,0.866025,-0.5,0.718141,-0.692727,0.261052,0.747874,0.264873,0.290521,-0.354168
0,21,1,-0.339981,0.652145,0.669991,0.330009,1,0,0.707107,-0.707107,0.866025,-0.5,0.759551,-0.63876,0.261052,0.682517,0.290237,0.381968,-0.425245
0,21,2,0.339981,0.652145,0.330009,0.669991,1,0,0.707107,-0.707107,0.866025,-0.5,0.813581,-0.568347,0.261052,0.598139,0.33118,0.513932,-0.553683
0,21,3,0.861136,0.347855,0.0694318,0.930568,1,0,0.707107,-0.707107,0.866025,-0.5,0.854991,-0.51438,0.261052,0.534429,0.37066,0.626557,-0.693564
0,22,0,-0.861136,0.347855,0.930568,0.0694318,1,0,0.866025,-0.5,0.965926,-0.258819,0.872962,-0.483254,0.261052,0.499673,0.135219,0.693801,-0.270615
0,22,1,-0.339981,0.652145,0.669991,0.330009,1,0,0.866025,-0.5,0.965926,-0.258819,0.898993,-0.420408,0.261052,0.432372,0.156267,0.83847,-0.361418
0,22,2,0.339981,0.652145,0.330009,0.669991,1,0,0.866025,-0.5,0.965926,-0.258819,0.932958,-0.338411,0.261052,0.344988,0.195848,1.06425,-0.567696
0,22,3,0.861136,0.347855,0.0694318,0.930568,1,0,0.866025,-0.5,0.965926,-0.258819,0.95899,-0.275565,0.261052,0.2786,0.242518,1.27798,-0.870488
1,2,0,-0.861136,0.347855,0.930568,0.0694318,0.965926,0.258819,0.866025,0.5,0.707107,0.707107,0.854991,0.51438,0.261052,0.2786,0.242518,1.27798,-0.870488
1,2,1,-0.339981,0.652145,0.669991,0.330009,0.965926,0.258819,0.866025,0.5,0.707107,0.707107,0.813581,0.568347,0.261052,0.344988,0.195848,1.06425,-0.567696
1,2,2,0.339981,0.652145,0.330009,0.669991,0.965926,0.258819,0.866025,0.5,0.707107,0.707107,0.759551,0.63876,0.261052,0.432372,0.156267,0.83847,-0.361418
1,2,3,0.861136,0.347855,0.0694318,0.930568,0.965926,0.258819,0.866025,0.5,0.707107,0.707107,0.718141,0.692727,0.261052,0.499673,0.135219,0.693801,-0.270615
1,3,0,-0.861136,0.347855,0.930568,0.0694318,0.965926,0.258819,0.707107,0.707107,0.5,0.866025,0.692727,0.718141,0.261052,0.534429,0.37066,0.626557,-0.693564
