(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
(-0.569327,-0.00160581)
