(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(0.313499,0.000534696)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
(-0.5735,-0.000717795)
